"batch_id","last_chng_mn_usid","last_chng_dt","load_table","stat_code","item_code","data_cycle"
BAR60108,bar60000,2025-10-17 03:04:08.742,BTAPDT,"132","1505",D
BAR60109,bar60000,2025-10-17 03:04:08.742,BTAPDT,"133","1506",D
BAR60110,bar60000,2025-10-17 03:04:08.742,BTAPDT,"134","1507",D
BAR60111,bar60000,2025-10-17 03:04:08.742,BTAPDT,"135","1508",D
BAR60112,bar60000,2025-10-17 03:04:08.742,BTAPDT,"137","1509",D
BAR60113,bar60000,2025-10-17 03:04:08.742,BTAPDT,"138","1510",D
BAR60114,bar60000,2025-10-17 03:04:08.742,BTAPDT,"139","1511",D
BAR60115,bar60000,2025-10-17 03:04:08.742,BTAPDT,"140","1512",D
BAR60116,bar60000,2025-10-17 03:04:08.742,BTAPDT,"141","1513",D
BAR60117,bar60000,2025-10-17 03:04:08.742,BTAPDT,"142","1514",D
BAR60118,bar60000,2025-10-17 03:04:08.742,BTAPDT,"143","1515",D
